2023-08-31 11:49:44:Parameters:[redpanda-0.redpanda.redpanda.svc.cluster.local.,redpanda-1.redpanda.redpanda.svc.cluster.local.,redpanda-2.redpanda.redpanda.svc.cluster.local., 9093, 950]
2023-08-31 11:49:44:Agg record consumer is thread AggRecordConsumer
2023-08-31 11:49:44:AggregatedRecordConsumer starting...
log4j:WARN No appenders could be found for logger (org.apache.kafka.clients.consumer.ConsumerConfig).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
2023-08-31 12:05:34:Halting
2023-08-31 12:05:34:{OutputPollBatchSize=OutputPollBatchSize 
 Reports=            9382 Average=               5, Total=          49,448, 50%=               4, 95%=              15, 99%=              23, 99.5%=              26, 99.95%=              37, Max=              66
1	1817.0	
2	1454.0	
3	1226.0	
4	909.0	
5	769.0	
6	586.0	
7	479.0	
8	390.0	
9	330.0	
10	242.0	
11	214.0	
12	185.0	
13	159.0	
14	103.0	
15	95.0	
16	80.0	
17	51.0	
18	59.0	
19	52.0	
20	31.0	
21	26.0	
22	24.0	
23	19.0	
24	14.0	
25	16.0	
26	10.0	
27	4.0	
28	5.0	
29	6.0	
30	5.0	
31	6.0	
32	4.0	
33	1.0	
34	4.0	
35	1.0	
36	1.0	
37	1.0	
39	1.0	
41	1.0	
44	1.0	
66	1.0	
, OutputLag=OutputLag 
 Reports=           49448 Average=           3,901, Total=     192,878,436, 50%=            4379, 95%=            4972, 99%=            4997, 99.5%=            5000, 99.95%=            5003, Max=            5005
4	1.0	
9	2.0	
10	1.0	
11	4.0	
13	1.0	
14	2.0	
16	1.0	
18	1.0	
19	5.0	
20	1.0	
21	2.0	
22	1.0	
25	1.0	
26	2.0	
27	1.0	
28	1.0	
29	2.0	
30	2.0	
31	5.0	
32	1.0	
34	1.0	
36	5.0	
37	1.0	
38	2.0	
39	1.0	
40	1.0	
42	1.0	
43	1.0	
46	1.0	
49	1.0	
50	3.0	
52	1.0	
53	1.0	
54	1.0	
55	1.0	
56	2.0	
57	1.0	
58	2.0	
60	1.0	
61	3.0	
62	1.0	
63	1.0	
64	1.0	
66	2.0	
67	2.0	
71	2.0	
74	2.0	
76	1.0	
79	1.0	
81	1.0	
82	1.0	
83	1.0	
84	2.0	
85	6.0	
86	2.0	
87	1.0	
88	3.0	
89	3.0	
91	1.0	
94	3.0	
95	1.0	
97	2.0	
98	1.0	
99	1.0	
